temp,windspeed,rain,HomeTeam,AwayTeam,HTHG,HTAG,HS,AS,HST,AST,HC,HY,AY,HR,AR,League Year,ExpectedBetHomeWin,ExpectedBetDraw,ExpectedBetAwayWin,FinalResult,Goal_Difference,Home_Attack,Home_Midfield,Home_Defence,Home_Overall,Away_Attack,Away_Midfield,Away_Defence,Away_Overall
62.6,6.9,0,Crystal Palace,Swansea,0.0,1.0,9.0,15.0,1.0,7.0,6.0,2.0,2.0,0.0,0.0,2013,3.325,3.3249999999999997,2.275,0,0.0,71,72,71,72,79,74,75,76
62.6,6.9,0,Man City,Man United,2.0,0.0,18.0,14.0,5.0,3.0,8.0,1.0,2.0,0.0,0.0,2013,2.1875,3.35,3.525,2,2.0,84,83,81,82,85,79,80,82
59.9,12.8,0,Aston Villa,Man City,0.0,1.0,8.0,20.0,4.0,7.0,2.0,1.0,1.0,0.0,0.0,2013,6.625,4.05,1.5475,2,0.0,72,71,74,74,84,83,81,82
59.9,12.8,0,Fulham,Cardiff,1.0,1.0,9.0,22.0,5.0,4.0,11.0,1.0,1.0,0.0,0.0,2013,2.0749999999999997,3.3249999999999997,3.7749999999999995,0,0.0,71,74,72,75,72,70,73,72
59.9,12.8,0,Hull,West Ham,1.0,0.0,9.0,18.0,2.0,5.0,6.0,1.0,2.0,0.0,0.0,2013,2.3825000000000003,3.2249999999999996,3.1875,2,1.0,72,71,71,72,76,74,72,74
59.9,12.8,0,Man United,West Brom,0.0,0.0,14.0,12.0,6.0,4.0,5.0,3.0,2.0,0.0,0.0,2013,1.29,5.5625,11.0,0,0.0,85,79,80,82,70,74,72,74
59.9,12.8,0,Southampton,Crystal Palace,0.0,0.0,12.0,8.0,3.0,0.0,8.0,1.0,2.0,0.0,0.0,2013,1.46,4.2375,8.0625,2,0.0,76,76,73,75,71,72,71,72
59.9,12.8,0,Swansea,Arsenal,0.0,0.0,10.0,10.0,3.0,4.0,4.0,3.0,2.0,0.0,0.0,2013,3.2125000000000004,3.325,2.3575,0,0.0,79,74,75,76,79,81,80,80
59.9,12.8,0,Tottenham,Chelsea,1.0,0.0,12.0,11.0,4.0,5.0,4.0,5.0,1.0,0.0,1.0,2013,2.6874999999999996,3.2249999999999996,2.8200000000000003,1,1.0,77,80,78,80,81,82,81,82
59.8,14.2,0,Stoke,Norwich,0.0,1.0,8.0,8.0,1.0,3.0,7.0,2.0,1.0,0.0,0.0,2013,1.975,3.3375,4.2825,0,0.0,76,73,73,74,74,74,74,74
59.8,14.2,0,Sunderland,Liverpool,0.0,2.0,23.0,15.0,5.0,6.0,10.0,2.0,1.0,0.0,0.0,2013,5.375,3.775,1.6925,0,0.0,74,73,73,74,76,79,78,80
60.4,11.8,0,Everton,Newcastle,3.0,0.0,18.0,15.0,7.0,6.0,1.0,3.0,1.0,0.0,0.0,2013,1.6425,3.9125,5.875,2,3.0,78,78,78,78,78,75,76,76
60.5,5.9,0,Cardiff,Newcastle,0.0,2.0,8.0,20.0,2.0,10.0,3.0,1.0,0.0,0.0,0.0,2013,2.4000000000000004,3.325,3.0749999999999997,0,0.0,72,70,73,72,78,75,76,76
60.5,5.9,0,Fulham,Stoke,0.0,0.0,9.0,16.0,2.0,3.0,7.0,3.0,2.0,0.0,0.0,2013,2.3875,3.25,3.175,2,0.0,71,74,72,75,76,73,73,74
60.5,5.9,0,Hull,Aston Villa,0.0,0.0,6.0,18.0,1.0,4.0,7.0,2.0,1.0,0.0,0.0,2013,2.45,3.1875,3.1050000000000004,1,0.0,72,71,71,72,72,71,74,74
